,Symbol,Sell Time,Buy Time,High at order,Low at order,Entry,Exit,Entry Price,Exit Price,Sell Price,Buy Price,Exit Type,Operation,StopLoss,P and L
408,HINDZINC,2022-07-08 10:15:00,2022-07-08 15:00:00,263.75,262.25,2022-07-08 10:15:00,2022-07-08 15:00:00,262.25,263.75,262.25,263.75,StopLoss,upper,263.75,-1.5
409,LT,2022-07-08 10:15:00,2022-07-08 10:45:00,1673.0,1665.1,2022-07-08 10:15:00,2022-07-08 10:45:00,1665.1,1673.0,1665.1,1673.0,StopLoss,upper,1673.0,-7.900000000000091
410,INDUSTOWER,2022-07-11 10:30:00,2022-07-11 15:00:00,216.85,214.8,2022-07-11 10:30:00,2022-07-11 15:00:00,214.8,213.6,214.8,213.6,DayEnd,upper,216.85,1.200000000000017
411,ADANIGREEN,2022-07-11 10:30:00,2022-07-11 12:00:00,2109.0,2086.0,2022-07-11 10:30:00,2022-07-11 12:00:00,2086.0,2109.0,2086.0,2109.0,StopLoss,upper,2109.0,-23.0
412,TCS,2022-07-11 10:30:00,2022-07-11 10:00:00,3123.45,3113.55,2022-07-11 10:00:00,2022-07-11 10:30:00,3123.45,3113.55,3113.55,3123.45,StopLoss,lower,3113.55,-9.899999999999636
413,BHARTIARTL,2022-07-11 10:45:00,2022-07-11 10:00:00,666.55,663.45,2022-07-11 10:00:00,2022-07-11 10:45:00,666.55,663.45,663.45,666.55,StopLoss,lower,663.45,-3.099999999999909
414,HCLTECH,2022-07-11 11:00:00,2022-07-11 09:45:00,959.45,952.5,2022-07-11 09:45:00,2022-07-11 11:00:00,959.45,952.5,952.5,959.45,StopLoss,lower,952.5,-6.9500000000000455
415,DIXON,2022-07-12 10:00:00,2022-07-12 12:30:00,3859.8,3829.5,2022-07-12 10:00:00,2022-07-12 12:30:00,3829.5,3859.8,3829.5,3859.8,StopLoss,upper,3859.8,-30.300000000000182
416,INDUSTOWER,2022-07-12 10:15:00,2022-07-12 10:45:00,223.0,221.55,2022-07-12 10:15:00,2022-07-12 10:45:00,221.55,223.0,221.55,223.0,StopLoss,upper,223.0,-1.4499999999999886
417,ADANIGREEN,2022-07-12 09:45:00,2022-07-12 10:15:00,2330.3,2283.05,2022-07-12 09:45:00,2022-07-12 10:15:00,2283.05,2330.3,2283.05,2330.3,StopLoss,upper,2330.3,-47.25
