,Symbol,Sell Time,Buy Time,High at order,Low at order,Entry,Exit,Entry Price,Exit Price,Sell Price,Buy Price,Exit Type,Operation,StopLoss,P and L,net p&l,funds
25,OBEROIRLTY,2022-01-12 09:45:00,2022-01-12 12:30:00,969.9,961.0,2022-01-12 09:45:00,2022-01-12 12:30:00,961.0,969.9,961.0,969.9,StopLoss,upper,969.9,-8.899999999999977,-480.5999999999988,97726.23000000001
26,DLF,2022-01-12 09:45:00,2022-01-12 15:00:00,426.0,422.1,2022-01-12 09:45:00,2022-01-12 15:00:00,422.1,418.9,422.1,418.9,DayEnd,upper,426.0,3.2000000000000455,400.0000000000057,97726.23000000001
27,PRESTIGE,2022-01-12 09:45:00,2022-01-12 15:00:00,501.65,488.3,2022-01-12 09:45:00,2022-01-12 15:00:00,488.3,470.75,488.3,470.75,DayEnd,upper,501.65,17.55000000000001,631.8000000000004,97726.23000000001
28,PIIND,2022-01-12 15:00:00,2022-01-12 09:45:00,2874.7,2826.0,2022-01-12 09:45:00,2022-01-12 15:00:00,2874.7,2870.25,2870.25,2874.7,DayEnd,lower,2826.0,-4.449999999999818,-44.49999999999818,97726.23000000001
29,GLENMARK,2022-01-12 11:15:00,2022-01-12 09:45:00,520.0,514.6,2022-01-12 09:45:00,2022-01-12 11:15:00,520.0,514.6,514.6,520.0,StopLoss,lower,514.6,-5.399999999999977,-485.99999999999795,97726.23000000001
30,WIPRO,2022-01-13 10:15:00,2022-01-13 09:45:00,657.65,652.5,2022-01-13 09:45:00,2022-01-13 10:15:00,657.65,652.5,652.5,657.65,StopLoss,lower,652.5,-5.149999999999977,-484.09999999999786,97746.93000000002
31,ASIANPAINT,2022-01-13 12:45:00,2022-01-13 09:45:00,3529.4,3515.1,2022-01-13 09:45:00,2022-01-13 12:45:00,3529.4,3515.1,3515.1,3529.4,StopLoss,lower,3515.1,-14.300000000000182,-486.2000000000062,97746.93000000002
32,NATIONALUM,2022-01-13 10:00:00,2022-01-13 10:15:00,113.95,113.25,2022-01-13 10:00:00,2022-01-13 10:15:00,113.25,113.95,113.25,113.95,StopLoss,upper,113.95,-0.7000000000000028,-488.60000000000196,97746.93000000002
33,TATAELXSI,2022-01-13 10:00:00,2022-01-13 10:45:00,6328.0,6297.1,2022-01-13 10:00:00,2022-01-13 10:45:00,6297.1,6328.0,6297.1,6328.0,StopLoss,upper,6328.0,-30.899999999999636,-463.49999999999454,97746.93000000002
34,HINDCOPPER,2022-01-13 10:00:00,2022-01-13 10:45:00,139.05,137.5,2022-01-13 10:00:00,2022-01-13 10:45:00,137.5,139.05,137.5,139.05,StopLoss,upper,139.05,-1.5500000000000114,-488.2500000000036,97746.93000000002
