,Symbol,Sell Time,Buy Time,High at order,Low at order,Entry,Exit,Entry Price,Exit Price,Sell Price,Buy Price,Exit Type,Operation,StopLoss,P and L,net p&l,funds
75,NATIONALUM,2022-04-22 12:15:00,2022-04-22 10:30:00,116.3,115.7,2022-04-22 10:30:00,2022-04-22 12:15:00,116.3,115.7,115.7,116.3,StopLoss,lower,115.7,-0.5999999999999943,-512.9999999999951,102664.58000000003
76,ACC,2022-04-25 09:45:00,2022-04-25 15:00:00,2314.55,2285.05,2022-04-25 09:45:00,2022-04-25 15:00:00,2285.05,2269.45,2285.05,2269.45,DayEnd,upper,2314.55,15.600000000000366,265.20000000000624,101641.28000000003
77,NATIONALUM,2022-04-25 10:30:00,2022-04-25 10:00:00,111.2,109.65,2022-04-25 10:00:00,2022-04-25 10:30:00,111.2,109.65,109.65,111.2,StopLoss,lower,109.65,-1.5499999999999972,-506.84999999999906,101641.28000000003
78,DHANI,2022-04-28 11:15:00,2022-04-28 10:45:00,55.75,55.3,2022-04-28 10:45:00,2022-04-28 11:15:00,55.75,55.3,55.3,55.75,StopLoss,lower,55.3,-0.4500000000000029,-506.7000000000033,101399.63000000003
79,TATACOMM,2022-05-02 15:00:00,2022-05-02 10:30:00,1069.5,1060.9,2022-05-02 10:30:00,2022-05-02 15:00:00,1069.5,1083.45,1083.45,1069.5,DayEnd,lower,1060.9,13.950000000000045,809.1000000000026,100892.93000000004
80,JSWENERGY,2022-05-02 10:45:00,2022-05-02 10:00:00,312.5,308.35,2022-05-02 10:00:00,2022-05-02 10:45:00,312.5,308.35,308.35,312.5,StopLoss,lower,308.35,-4.149999999999976,-502.14999999999714,100892.93000000004
81,INDHOTEL,2022-05-04 09:45:00,2022-05-04 15:00:00,268.2,266.25,2022-05-04 09:45:00,2022-05-04 15:00:00,266.25,255.9,266.25,255.9,DayEnd,upper,268.2,10.349999999999994,2680.6499999999987,101199.88000000005
82,APOLLOHOSP,2022-05-04 11:45:00,2022-05-04 10:30:00,4127.4,4100.1,2022-05-04 10:30:00,2022-05-04 11:45:00,4127.4,4100.1,4100.1,4127.4,StopLoss,lower,4100.1,-27.29999999999927,-491.39999999998685,101199.88000000005
83,TITAN,2022-05-04 10:00:00,2022-05-04 09:45:00,2340.45,2322.0,2022-05-04 09:45:00,2022-05-04 10:00:00,2340.45,2322.0,2322.0,2340.45,StopLoss,lower,2322.0,-18.449999999999818,-498.1499999999951,101199.88000000005
84,HAVELLS,2022-05-05 15:00:00,2022-05-05 09:45:00,1266.4,1237.55,2022-05-05 09:45:00,2022-05-05 15:00:00,1266.4,1251.45,1251.45,1266.4,DayEnd,lower,1237.55,-14.950000000000045,-254.15000000000077,102890.98000000007
