,Symbol,Sell Time,Buy Time,High at order,Low at order,Entry,Exit,Entry Price,Exit Price,Sell Price,Buy Price,Exit Type,Operation,StopLoss,P and L
25,OBEROIRLTY,2022-01-12 09:45:00,2022-01-12 12:30:00,969.9,961.0,2022-01-12 09:45:00,2022-01-12 12:30:00,961.0,969.9,961.0,969.9,StopLoss,upper,969.9,-8.899999999999977
26,DLF,2022-01-12 09:45:00,2022-01-12 15:00:00,426.0,422.1,2022-01-12 09:45:00,2022-01-12 15:00:00,422.1,418.9,422.1,418.9,DayEnd,upper,426.0,3.2000000000000455
27,PRESTIGE,2022-01-12 09:45:00,2022-01-12 15:00:00,501.65,488.3,2022-01-12 09:45:00,2022-01-12 15:00:00,488.3,470.75,488.3,470.75,DayEnd,upper,501.65,17.55000000000001
28,PIIND,2022-01-12 15:00:00,2022-01-12 09:45:00,2874.7,2826.0,2022-01-12 09:45:00,2022-01-12 15:00:00,2874.7,2870.25,2870.25,2874.7,DayEnd,lower,2826.0,-4.449999999999818
29,GLENMARK,2022-01-12 11:15:00,2022-01-12 09:45:00,520.0,514.6,2022-01-12 09:45:00,2022-01-12 11:15:00,520.0,514.6,514.6,520.0,StopLoss,lower,514.6,-5.399999999999977
30,GSPL,2022-01-13 10:00:00,2022-01-13 09:45:00,326.0,323.0,2022-01-13 09:45:00,2022-01-13 10:00:00,326.0,323.0,323.0,326.0,StopLoss,lower,323.0,-3.0
31,ASIANPAINT,2022-01-13 12:45:00,2022-01-13 09:45:00,3529.4,3515.1,2022-01-13 09:45:00,2022-01-13 12:45:00,3529.4,3515.1,3515.1,3529.4,StopLoss,lower,3515.1,-14.300000000000182
32,NATIONALUM,2022-01-13 10:00:00,2022-01-13 10:15:00,113.95,113.25,2022-01-13 10:00:00,2022-01-13 10:15:00,113.25,113.95,113.25,113.95,StopLoss,upper,113.95,-0.7000000000000028
33,TATAELXSI,2022-01-13 10:00:00,2022-01-13 10:45:00,6328.0,6297.1,2022-01-13 10:00:00,2022-01-13 10:45:00,6297.1,6328.0,6297.1,6328.0,StopLoss,upper,6328.0,-30.899999999999636
34,HINDCOPPER,2022-01-13 10:00:00,2022-01-13 10:45:00,139.05,137.5,2022-01-13 10:00:00,2022-01-13 10:45:00,137.5,139.05,137.5,139.05,StopLoss,upper,139.05,-1.5500000000000114
35,TATACHEM,2022-01-14 09:45:00,2022-01-14 15:00:00,1045.25,1035.3,2022-01-14 09:45:00,2022-01-14 15:00:00,1035.3,1032.4,1035.3,1032.4,DayEnd,upper,1045.25,2.8999999999998636
36,CUMMINSIND,2022-01-14 10:00:00,2022-01-14 15:00:00,1010.25,1002.05,2022-01-14 10:00:00,2022-01-14 15:00:00,1002.05,988.05,1002.05,988.05,DayEnd,upper,1010.25,14.0
37,ACC,2022-01-14 10:15:00,2022-01-14 15:00:00,2366.0,2353.0,2022-01-14 10:15:00,2022-01-14 15:00:00,2353.0,2359.0,2353.0,2359.0,DayEnd,upper,2366.0,-6.0
38,IRCTC,2022-01-14 10:15:00,2022-01-14 12:15:00,899.8,895.15,2022-01-14 10:15:00,2022-01-14 12:15:00,895.15,899.8,895.15,899.8,StopLoss,upper,899.8,-4.649999999999977
39,HCLTECH,2022-01-14 15:00:00,2022-01-14 10:15:00,1299.4,1293.2,2022-01-14 10:15:00,2022-01-14 15:00:00,1299.4,1339.6,1339.6,1299.4,DayEnd,lower,1293.2,40.19999999999982
40,TATACHEM,2022-01-17 15:00:00,2022-01-17 09:45:00,1016.5,1006.65,2022-01-17 09:45:00,2022-01-17 15:00:00,1016.5,1030.25,1030.25,1016.5,DayEnd,lower,1006.65,13.75
